questionnaire_id,school_id,type_id,year,total_graduates,questionnaire_completed,percent_answered,female_count,male_count
QAQV_2014_Qu,1,1,2014,48,48,1.0,17,31
QAQV_2015_Qu,1,1,2015,52,52,1.0,19,33
QAQV_2016_Qu,1,1,2016,68,64,0.941176470588235,35,29
QAQV_2017_Qu,1,1,2017,52,51,0.980769230769231,24,27
QAQV_2018_Qu,1,1,2018,56,56,1.0,29,27
QAQV_2019_Qu,1,1,2019,47,47,1.0,22,25
QCSCLF_2004_Qu,2,1,2004,64,64,1.0,33,31
QCSCLF_2005_Qu,2,1,2005,64,64,1.0,33,31
QCSCLF_2006_Qu,2,1,2006,53,53,1.0,24,29
QCSCLF_2007_Qu,2,1,2007,54,54,1.0,21,33
QCSCLF_2008_Qu,2,1,2008,46,46,1.0,27,19
QCSCLF_2010_Qu,2,1,2010,43,42,0.976744186046512,23,19
QCSCLF_2011_Qu,2,1,2011,42,38,0.904761904761905,19,19
QCSCLF_2012_Qu,2,1,2012,33,33,1.0,16,17
QCSCLF_2014_Qu,2,1,2014,34,34,1.0,19,15
QCSCLF_2015_Qu,2,1,2015,37,37,1.0,20,17
QCSCLF_2016_Qu,2,1,2016,43,42,0.976744186046512,18,24
QCSCLF_2017_Qu,2,1,2017,65,65,1.0,32,33
QCSCLF_2018_Qu,2,1,2018,37,37,1.0,17,20
QCSCLF_2019_Qu,2,1,2019,38,37,0.973684210526316,20,17
QESN_2014_Qu,3,1,2014,219,208,0.949771689497717,111,97
QESN_2015_Qu,3,1,2015,215,215,1.0,107,108
QESN_2016_Qu,3,1,2016,223,223,1.0,113,110
QESN_2017_Qu,3,1,2017,211,206,0.976303317535545,106,100
QESN_2018_Qu,3,1,2018,211,196,0.928909952606635,96,100
QESN_2019_Qu,3,1,2019,201,201,1.0,94,107
QPLM_2004_Qu,4,1,2004,168,164,0.976190476190476,96,68
QPLM_2005_Qu,4,1,2005,146,140,0.958904109589041,75,65
QPLM_2006_Qu,4,1,2006,151,149,0.986754966887417,79,70
QPLM_2007_Qu,4,1,2007,151,151,1.0,79,72
QPLM_2008_Qu,4,1,2008,148,148,1.0,85,63
QPLM_2010_Qu,4,1,2010,143,142,0.993006993006993,68,74
QPLM_2011_Qu,4,1,2011,110,107,0.972727272727273,64,43
QPLM_2012_Qu,4,1,2012,127,126,0.992125984251969,63,63
QPLM_2013_Qu,4,1,2013,132,132,1.0,64,68
QPLM_2014_Qu,4,1,2014,128,127,0.9921875,61,66
QPLM_2015_Qu,4,1,2015,130,126,0.969230769230769,63,63
QPLM_2016_Qu,4,1,2016,127,117,0.921259842519685,47,70
QPLM_2017_Qu,4,1,2017,122,121,0.991803278688525,62,59
QPLM_2018_Qu,4,1,2018,106,101,0.952830188679245,47,54
QPLM_2019_Qu,4,1,2019,101,101,1.0,55,46
QPME_2004_Qu,5,1,2004,156,154,0.987179487179487,86,68
QPME_2005_Qu,5,1,2005,168,150,0.892857142857143,80,70
QPME_2006_Qu,5,1,2006,172,171,0.994186046511628,77,94
QPME_2007_Qu,5,1,2007,130,127,0.976923076923077,65,62
QPME_2008_Qu,5,1,2008,145,135,0.931034482758621,85,50
QPME_2010_Qu,5,1,2010,141,134,0.950354609929078,65,69
QPME_2011_Qu,5,1,2011,136,129,0.948529411764706,71,58
QPME_2012_Qu,5,1,2012,145,136,0.937931034482759,74,62
QPME_2013_Qu,5,1,2013,119,119,1.0,57,62
QPME_2014_Qu,5,1,2014,100,87,0.87,42,45
QPME_2015_Qu,5,1,2015,89,89,1.0,41,48
QPME_2016_Qu,5,1,2016,104,101,0.971153846153846,48,53
QPME_2017_Qu,5,1,2017,95,95,1.0,51,44
QPME_2018_Qu,5,1,2018,106,99,0.933962264150943,39,60
QPME_2019_Qu,5,1,2019,101,99,0.98019801980198,47,52
QPRP_2014_Qu,6,1,2014,60,56,0.933333333333333,24,32
